playerShort,player,club,leagueCountry,birthday,height,weight,position,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,english,german,french,spanish,birthYear
aaron-hughes,Aaron Hughes,Fulham FC,England,08.11.1979,182.0,71.0,Center Back,0.125,654,247,179,228,9,19,0,0,1,0,0,0,1979
aaron-hunt,Aaron Hunt,Werder Bremen,Germany,04.09.1986,183.0,73.0,Attacking Midfielder,0.125,336,141,73,122,62,42,0,1,0,1,0,0,1986
aaron-lennon,Aaron Lennon,Tottenham Hotspur,England,16.04.1987,165.0,63.0,Right Midfielder,0.25,412,200,97,115,31,11,0,0,1,0,0,0,1987
aaron-ramsey,Aaron Ramsey,Arsenal FC,England,26.12.1990,178.0,76.0,Center Midfielder,0.0,260,150,42,68,39,31,0,1,1,0,0,0,1990
abdelhamid-el-kaoutari,Abdelhamid El-Kaoutari,Montpellier HSC,France,17.03.1990,180.0,73.0,Center Back,0.25,124,41,40,43,1,8,4,2,0,0,1,0,1990
abdou-traore_2,Abdou Traoré,Girondins Bordeaux,France,17.01.1988,180.0,74.0,Right Midfielder,0.75,97,41,23,33,3,11,1,0,0,0,1,0,1988
abdoulaye-diallo_2,Abdoulaye Diallo,Stade Rennes,France,30.03.1992,189.0,80.0,Goalkeeper,0.875,24,8,8,8,0,0,0,0,0,0,1,0,1992
abdoulaye-keita_2,Abdoulaye Keita,Girondins Bordeaux,France,19.08.1990,188.0,83.0,Goalkeeper,0.875,3,0,1,2,0,0,0,0,0,0,1,0,1990
abdoulwhaid-sissoko,Abdoulwhaid Sissoko,Stade Brest,France,20.03.1990,180.0,68.0,Defensive Midfielder,1.0,121,34,25,62,3,21,0,2,0,0,1,0,1990
abdul-rahman-baba,Abdul Rahman Baba,SpVgg Greuther Fürth,Germany,02.07.1994,179.0,70.0,Left Fullback,0.875,50,17,8,25,0,3,0,1,0,1,0,0,1994
abdul-razak,Abdul Razak,Manchester City,England,11.11.1992,180.0,78.0,Center Midfielder,1.0,36,16,8,12,0,2,0,0,1,0,0,0,1992
abel-aguilar,Abel Aguilar,Deportivo La Coruña,Spain,06.01.1985,185.0,78.0,Defensive Midfielder,0.375,246,93,61,92,25,70,3,2,0,0,0,1,1985
abou-diaby,Abou Diaby,Arsenal FC,England,11.05.1986,188.0,75.0,Center Midfielder,0.75,208,109,51,48,21,24,0,2,1,0,0,0,1986
adam-bodzek,Adam Bodzek,Fortuna Düsseldorf,Germany,07.09.1985,184.0,79.0,Defensive Midfielder,0.25,211,88,63,60,9,66,1,0,0,1,0,0,1985
adam-federici,Adam Federici,Reading FC,England,31.01.1985,188.0,90.0,Goalkeeper,0.0,206,83,54,69,1,4,0,0,1,0,0,0,1985
adam-hlousek,Adam Hloušek,1. FC Nürnberg,Germany,20.12.1988,188.0,76.0,Left Midfielder,0.0,131,46,34,51,13,21,0,0,0,1,0,0,1988
adam-johnson,Adam Johnson,Sunderland AFC,England,14.07.1987,175.0,62.0,Left Midfielder,0.0,339,145,68,126,55,21,0,0,1,0,0,0,1987
adam-pinter,Ádám Pintér,Real Zaragoza,Spain,12.06.1988,190.0,76.0,Center Back,0.0,82,28,18,36,1,14,1,1,0,0,0,1,1988
adam-smith_3,Adam Smith,Millwall FC,England,29.04.1991,173.0,73.0,Right Fullback,0.0,131,55,31,45,4,29,2,1,1,0,0,0,1991
adam-szalai,Ádám Szalai,1. FSV Mainz 05,Germany,09.12.1987,193.0,87.0,Center Forward,0.25,182,83,40,59,51,18,1,0,0,1,0,0,1987
adan, Adán,Real Madrid,Spain,13.05.1987,190.0,88.0,Goalkeeper,0.0,44,22,6,16,0,1,0,1,0,0,0,1,1987
adel-taarabt,Adel Taarabt,Queens Park Rangers,England,24.05.1989,180.0,78.0,Left Midfielder,0.25,209,67,56,86,41,23,1,0,1,0,0,0,1989
adil-rami,Adil Rami,Valencia CF,Spain,27.12.1985,190.0,88.0,Center Back,0.125,286,144,71,71,20,59,2,3,0,0,0,1,1985
adrian-colunga, Adrián Colunga,Getafe CF,Spain,17.11.1984,171.0,69.0,Center Forward,0.25,178,53,43,82,39,22,1,0,0,0,0,1,1984
adrian-mutu,Adrian Mutu,AC Ajaccio,France,08.01.1979,180.0,74.0,Left Winger,0.25,453,199,120,134,178,90,2,3,0,0,1,0,1979
adrian_2, Adrián,Atlético Madrid,Spain,08.01.1988,183.0,73.0,Center Forward,0.125,294,145,62,87,60,16,0,0,0,0,0,1,1988
adrian_7, Adrián,SD Compostela,Spain,21.05.1983,188.0,82.0,Goalkeeper,0.25,29,10,11,8,0,3,0,0,0,0,0,1,1983
adriano_24, Adriano,FC Barcelona,Spain,26.10.1984,172.0,67.0,Left Midfielder,0.25,373,229,59,85,33,58,1,3,0,0,0,1,1984
adrien-rabiot,Adrien Rabiot,Paris Saint-Germain,France,03.04.1995,188.0,71.0,Defensive Midfielder,0.0,66,42,14,10,6,11,0,0,0,0,1,0,1995
aduriz, Aduriz,Athletic Bilbao,Spain,11.02.1981,182.0,78.0,Center Forward,0.25,322,125,82,115,105,68,3,4,0,0,0,1,1981
agirretxe, Agirretxe,Real Sociedad,Spain,24.02.1987,187.0,77.0,Center Forward,0.0,200,78,62,60,52,8,0,0,0,0,0,1,1987
ahmed-sassi,Ahmed Sassi,1899 Hoffenheim,Germany,24.09.1993,179.0,69.0,Attacking Midfielder,0.5,15,6,1,8,4,1,0,0,0,1,0,0,1993
alain-traore_2,Alain Traoré,FC Lorient,France,31.12.1988,176.0,66.0,Left Midfielder,1.0,130,39,42,49,31,17,0,1,0,0,1,0,1988
alaixys-romao,Alaixys Romao,FC Lorient,France,18.01.1984,180.0,74.0,Defensive Midfielder,0.5,234,70,67,97,3,60,2,1,0,0,1,0,1984
albelda, Albelda,Valencia CF,Spain,01.09.1977,181.0,77.0,Defensive Midfielder,0.25,561,292,139,130,11,197,3,6,0,0,0,1,1977
alberto-botia, Alberto Botía,Sevilla FC,Spain,27.01.1989,186.0,82.0,Center Back,0.125,171,51,50,70,4,69,0,3,0,0,0,1,1989
alejandro-alonso,Alejandro Alonso,AS Saint-Étienne,France,03.03.1982,170.0,68.0,Right Midfielder,0.125,175,77,52,46,11,39,2,1,0,0,1,0,1982
alejandro-dominguez_2,Alejandro Domínguez,Rayo Vallecano,Spain,10.06.1981,175.0,73.0,Right Winger,0.25,197,104,41,52,45,36,0,1,0,0,0,1,1981
aleksandar-ignjovski,Aleksandar Ignjovski,Werder Bremen,Germany,27.01.1991,175.0,68.0,Defensive Midfielder,0.25,136,50,36,50,1,22,1,0,0,1,0,0,1991
aleksandar-kolarov,Aleksandar Kolarov,Manchester City,England,10.11.1985,187.0,80.0,Left Fullback,0.125,285,138,57,90,28,50,4,3,1,0,0,0,1985
alex-lopez, Álex López,Celta Vigo,Spain,11.01.1988,174.0,66.0,Center Midfielder,0.25,141,57,30,54,16,32,0,0,0,0,0,1,1988
alex-nimely-tchuimeni,Alex Nimely-Tchuimeni,Manchester City,England,11.05.1991,180.0,72.0,Center Forward,0.875,34,6,15,13,2,3,0,0,1,0,0,0,1991
alex-rubio, Álex Rubio,Sevilla FC,Spain,23.07.1993,185.0,77.0,Center Forward,0.125,20,5,5,10,4,5,0,0,0,0,0,1,1993
alex-song,Alex Song,FC Barcelona,Spain,09.09.1987,182.0,74.0,Defensive Midfielder,1.0,345,208,64,73,11,67,2,0,0,0,0,1,1987
