height,weight,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards
182.0,71.0,0.125,654,247,179,228,9,19,0,0
183.0,73.0,0.125,336,141,73,122,62,42,0,1
165.0,63.0,0.25,412,200,97,115,31,11,0,0
178.0,76.0,0.0,260,150,42,68,39,31,0,1
180.0,73.0,0.25,124,41,40,43,1,8,4,2
180.0,74.0,0.75,97,41,23,33,3,11,1,0
189.0,80.0,0.875,24,8,8,8,0,0,0,0
188.0,83.0,0.875,3,0,1,2,0,0,0,0
180.0,68.0,1.0,121,34,25,62,3,21,0,2
179.0,70.0,0.875,50,17,8,25,0,3,0,1
180.0,78.0,1.0,36,16,8,12,0,2,0,0
185.0,78.0,0.375,246,93,61,92,25,70,3,2
188.0,75.0,0.75,208,109,51,48,21,24,0,2
184.0,79.0,0.25,211,88,63,60,9,66,1,0
188.0,90.0,0.0,206,83,54,69,1,4,0,0
188.0,76.0,0.0,131,46,34,51,13,21,0,0
175.0,62.0,0.0,339,145,68,126,55,21,0,0
190.0,76.0,0.0,82,28,18,36,1,14,1,1
173.0,73.0,0.0,131,55,31,45,4,29,2,1
193.0,87.0,0.25,182,83,40,59,51,18,1,0
190.0,88.0,0.0,44,22,6,16,0,1,0,1
180.0,78.0,0.25,209,67,56,86,41,23,1,0
190.0,88.0,0.125,286,144,71,71,20,59,2,3
171.0,69.0,0.25,178,53,43,82,39,22,1,0
180.0,74.0,0.25,453,199,120,134,178,90,2,3
183.0,73.0,0.125,294,145,62,87,60,16,0,0
188.0,82.0,0.25,29,10,11,8,0,3,0,0
172.0,67.0,0.25,373,229,59,85,33,58,1,3
188.0,71.0,0.0,66,42,14,10,6,11,0,0
182.0,78.0,0.25,322,125,82,115,105,68,3,4
187.0,77.0,0.0,200,78,62,60,52,8,0,0
179.0,69.0,0.5,15,6,1,8,4,1,0,0
176.0,66.0,1.0,130,39,42,49,31,17,0,1
180.0,74.0,0.5,234,70,67,97,3,60,2,1
181.0,77.0,0.25,561,292,139,130,11,197,3,6
186.0,82.0,0.125,171,51,50,70,4,69,0,3
170.0,68.0,0.125,175,77,52,46,11,39,2,1
175.0,73.0,0.25,197,104,41,52,45,36,0,1
175.0,68.0,0.25,136,50,36,50,1,22,1,0
187.0,80.0,0.125,285,138,57,90,28,50,4,3
174.0,66.0,0.25,141,57,30,54,16,32,0,0
180.0,72.0,0.875,34,6,15,13,2,3,0,0
185.0,77.0,0.125,20,5,5,10,4,5,0,0
182.0,74.0,1.0,345,208,64,73,11,67,2,0
180.0,68.0,0.0,68,30,12,26,3,8,0,1
188.0,92.0,0.5,371,243,81,47,38,48,0,2
174.0,75.0,0.25,138,54,26,58,12,18,1,0
183.0,85.0,0.125,185,85,43,57,36,25,1,0
183.0,72.0,0.0,58,25,7,26,2,2,0,0
193.0,92.0,0.0,325,132,90,103,31,42,4,3
188.0,83.0,0.125,322,115,96,111,0,11,0,1
196.0,84.0,0.0,342,121,85,136,106,39,2,0
173.0,72.0,0.0,103,49,23,31,6,14,1,0
189.0,83.0,0.125,89,41,22,26,0,1,0,0
180.0,68.0,1.0,214,88,54,72,11,34,0,0
176.0,70.0,0.625,229,111,53,65,68,33,0,2
174.0,73.0,0.75,153,77,31,45,42,18,2,1
183.0,80.0,0.0,255,96,57,102,16,77,7,4
170.0,73.0,0.375,373,215,67,91,96,60,2,2
175.0,73.0,0.25,227,91,51,85,53,25,0,0
174.0,68.0,1.0,108,38,21,49,7,18,0,1
169.0,68.0,0.25,116,46,27,43,3,27,0,2
190.0,79.0,1.0,420,195,109,116,24,91,5,2
190.0,88.0,0.5,47,26,14,7,0,0,0,0
183.0,76.0,0.25,114,30,34,50,3,43,0,2
186.0,87.0,0.125,320,161,58,101,150,27,0,5
178.0,80.0,0.25,257,80,78,99,4,45,3,0
180.0,69.0,0.375,55,19,12,24,2,9,1,0
182.0,71.0,0.125,136,50,27,59,32,9,0,0
182.0,80.0,0.25,29,9,10,10,3,5,0,0
181.0,75.0,1.0,213,109,51,53,4,28,0,3
192.0,86.0,0.375,126,45,37,44,5,40,4,1
168.0,67.0,0.25,101,47,22,32,11,1,0,0
186.0,81.0,0.625,97,41,25,31,12,19,2,0
192.0,85.0,0.0,274,98,65,111,5,93,9,4
181.0,75.0,0.25,406,229,83,94,23,62,2,2
182.0,73.0,0.0,230,101,57,72,21,62,1,4
193.0,80.0,0.25,100,50,20,30,0,1,0,0
188.0,81.0,0.5,32,5,7,20,1,3,2,0
176.0,69.0,0.75,220,148,27,45,13,19,0,0
176.0,72.0,0.75,246,107,66,73,56,45,0,1
180.0,74.0,0.25,136,60,28,48,32,15,1,2
187.0,79.0,0.0,128,51,24,53,11,35,1,1
184.0,76.0,0.75,270,89,82,99,21,53,2,3
186.0,84.0,0.125,303,115,94,94,101,31,0,0
180.0,74.0,0.5,197,108,47,42,28,44,0,1
178.0,72.0,0.25,139,52,34,53,4,22,1,0
184.0,74.0,0.0,262,137,55,70,85,11,0,1
189.0,86.0,0.25,98,31,31,36,0,4,0,1
180.0,70.0,0.0,296,125,72,99,7,57,1,0
184.0,82.0,0.25,460,188,122,150,76,62,0,1
172.0,69.0,0.25,294,132,74,88,39,62,4,1
185.0,77.0,0.0,296,153,69,74,19,23,0,1
179.0,72.0,0.0,148,50,37,61,32,12,0,0
169.0,67.0,0.125,377,177,83,117,45,45,1,0
187.0,83.0,0.25,99,43,17,39,3,17,0,0
172.0,69.0,0.0,358,188,92,78,85,34,0,2
188.0,84.0,0.0,238,94,55,89,56,38,4,0
174.0,81.0,0.0,462,198,111,153,121,61,2,1
183.0,76.0,0.25,158,67,33,58,17,15,0,1
170.0,70.0,0.0,378,149,101,128,134,30,2,0
180.0,71.0,0.25,389,157,93,139,9,87,5,2
180.0,70.0,0.25,391,242,79,70,69,62,3,3
172.0,68.0,0.5,177,64,44,69,43,18,1,0
192.0,84.0,0.25,179,74,45,60,11,27,0,0
175.0,64.0,1.0,176,91,43,42,1,31,0,1
184.0,73.0,0.25,313,84,81,148,46,27,0,3
184.0,81.0,0.25,54,27,12,15,0,3,0,0
174.0,65.0,0.0,186,61,60,65,20,19,0,0
180.0,77.0,0.25,563,285,138,140,9,91,1,1
176.0,68.0,0.25,219,94,53,72,58,29,0,0
184.0,78.0,0.0,216,87,60,69,14,43,3,3
178.0,78.0,0.375,317,120,68,129,5,31,0,0
180.0,74.0,0.125,139,39,36,64,11,24,0,0
176.0,74.0,0.25,344,138,92,114,16,61,2,3
190.0,85.0,1.0,113,40,26,47,8,24,1,3
177.0,74.0,0.0,249,95,70,84,3,37,1,0
175.0,70.0,0.75,344,171,68,105,36,48,3,3
173.0,72.0,0.125,172,65,43,64,31,45,0,1
184.0,82.0,0.25,199,73,40,86,35,37,1,1
184.0,80.0,0.0,370,143,90,137,1,36,1,4
184.0,79.0,0.25,364,244,71,49,6,85,5,0
177.0,76.0,0.0,385,209,84,92,71,75,1,3
190.0,96.0,0.875,239,87,68,84,72,22,1,2
189.0,76.0,0.25,270,100,72,98,36,35,2,0
180.0,80.0,0.25,521,347,80,94,170,50,2,2
185.0,82.0,0.625,148,48,40,60,3,10,1,0
172.0,67.0,0.75,219,78,60,81,15,10,0,0
181.0,81.0,1.0,328,160,61,107,95,12,0,0
185.0,77.0,0.25,148,52,30,66,5,48,4,2
186.0,81.0,0.0,31,18,7,6,0,2,0,0
166.0,67.0,1.0,390,147,95,148,12,66,2,2
183.0,81.0,0.0,157,62,30,65,59,17,1,0
193.0,88.0,0.125,364,190,84,90,0,24,0,0
185.0,81.0,0.125,171,70,35,66,45,26,1,1
189.0,85.0,0.125,148,62,31,55,0,5,1,0
181.0,74.0,0.5,320,130,71,119,56,55,1,4
170.0,67.0,0.5,662,404,146,112,16,106,1,3
180.0,65.0,0.75,419,193,114,112,77,57,1,2
198.0,83.0,0.125,192,68,52,72,1,11,0,1
190.0,89.0,0.875,241,94,60,87,13,21,3,1
176.0,62.0,0.0,258,135,56,67,6,35,0,1
177.0,71.0,0.5,273,116,65,92,31,50,3,1
184.0,75.0,0.75,236,115,68,53,20,34,1,1
182.0,82.0,0.0,120,53,30,37,6,25,1,1
182.0,76.0,0.0,278,103,79,96,17,40,1,1
189.0,80.0,0.0,73,33,11,29,0,5,0,1
175.0,75.0,0.0,221,92,51,78,4,56,1,1
178.0,70.0,0.25,288,132,65,91,4,41,1,0
179.0,76.0,1.0,163,57,41,65,47,12,1,0
176.0,72.0,1.0,432,227,108,97,5,44,0,2
181.0,75.0,0.25,115,45,27,43,2,27,1,1
184.0,77.0,1.0,372,158,102,112,129,19,1,0
177.0,70.0,0.25,160,67,43,50,0,26,1,0
188.0,90.0,0.25,509,188,136,185,10,128,10,5
188.0,80.0,0.75,142,62,34,46,4,11,0,0
184.0,77.0,0.25,1,1,0,0,0,1,0,0
177.0,71.0,1.0,24,11,5,8,0,1,0,0
180.0,71.0,0.25,283,105,56,122,56,37,1,2
187.0,83.0,0.125,159,76,36,47,4,43,2,1
183.0,70.0,0.0,126,81,22,23,6,19,0,0
192.0,85.0,0.25,184,72,49,63,83,11,0,0
185.0,75.0,0.0,92,32,22,38,2,15,0,0
184.0,87.0,0.0,166,65,33,68,2,10,0,0
183.0,79.0,0.25,611,397,113,101,91,90,2,1
188.0,81.0,0.25,136,69,26,41,2,19,1,0
178.0,72.0,0.25,109,32,23,54,1,19,2,0
188.0,80.0,0.0,246,89,68,89,0,8,0,1
175.0,72.0,0.25,145,67,30,48,15,47,0,0
187.0,80.0,0.0,295,159,54,82,21,27,2,3
197.0,90.0,0.0,135,42,43,50,9,12,0,1
172.0,66.0,0.25,357,149,85,123,52,32,0,1
180.0,75.0,0.0,119,44,34,41,3,12,0,2
190.0,78.0,0.0,64,24,17,23,0,0,0,0
180.0,69.0,0.5,331,154,85,92,4,50,2,2
182.0,78.0,0.125,488,209,131,148,34,80,2,0
177.0,69.0,0.25,438,194,119,125,30,83,1,1
173.0,64.0,0.25,225,114,62,49,6,21,0,2
180.0,77.0,0.25,381,119,108,154,10,84,3,3
190.0,79.0,0.0,208,98,48,62,0,9,0,0
180.0,79.0,0.0,256,112,58,86,53,59,2,1
175.0,70.0,0.75,364,167,89,108,21,59,2,0
175.0,71.0,0.25,249,116,66,67,28,53,1,0
190.0,87.0,0.25,179,71,46,62,3,29,0,0
191.0,92.0,0.25,311,101,78,132,0,14,0,1
186.0,75.0,0.5,396,157,86,153,98,35,1,1
172.0,69.0,0.75,196,77,53,66,4,28,1,1
181.0,76.0,0.375,220,67,53,100,41,28,1,3
182.0,76.0,0.25,112,47,29,36,10,6,0,0
180.0,75.0,0.25,200,79,38,83,4,34,1,0
185.0,73.0,0.25,224,94,51,79,4,55,4,1
183.0,75.0,0.5,314,158,78,78,6,41,0,2
193.0,91.0,0.25,582,247,151,184,1,7,0,1
193.0,95.0,0.0,188,76,42,70,0,9,0,0
193.0,79.0,0.0,124,43,36,45,0,4,0,2
176.0,71.0,0.25,59,18,15,26,9,6,0,0
189.0,78.0,0.5,278,144,63,71,84,61,0,2
182.0,78.0,0.0,394,214,76,104,40,66,0,3
174.0,71.0,0.75,86,31,21,34,1,11,0,0
195.0,85.0,0.125,412,161,103,148,19,38,0,1
176.0,75.0,0.0,317,140,73,104,58,20,2,0
178.0,69.0,1.0,128,34,44,50,3,25,0,1
175.0,68.0,0.25,221,84,55,82,32,28,0,0
194.0,85.0,0.5,95,41,21,33,4,23,2,2
172.0,70.0,0.25,115,51,32,32,4,18,0,0
168.0,65.0,0.375,65,37,15,13,4,6,0,1
186.0,70.0,0.125,320,147,78,95,88,15,0,0
178.0,64.0,0.25,165,56,38,71,32,13,0,0
189.0,73.0,0.25,339,251,54,34,12,74,1,1
178.0,74.0,0.75,414,183,85,146,123,79,1,2
187.0,84.0,0.25,111,38,26,47,12,41,2,3
191.0,88.0,0.0,214,80,54,80,0,12,0,1
182.0,75.0,0.0,162,69,38,55,11,42,1,1
174.0,70.0,0.25,381,126,114,141,27,22,0,0
185.0,85.0,0.75,380,134,103,143,81,38,1,1
175.0,71.0,0.25,220,57,59,104,24,28,0,1
176.0,65.0,0.0,144,66,32,46,22,15,0,0
182.0,79.0,0.25,574,296,121,157,47,91,3,2
