height,weight,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,english,german,french,spanish,birthYear,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
182.0,71.0,0.125,654,247,179,228,9,19,0,0,1,0,0,0,1979,19.0,0.09182203337225096,0.0,0.0,0.09182203337225096,0.02143909123347823,0.0,0.0,0.02143909123347823
183.0,73.0,0.125,336,141,73,122,62,42,0,1,0,1,0,0,1986,73.2945248584015,0.6503680479335078,0.0,0.004906664051787094,0.8039197680739838,0.06549801723580095,0.0,0.000390554487834254,0.07772023436389029
165.0,63.0,0.25,412,200,97,115,31,11,0,0,1,0,0,0,1987,11.0,0.06279588591336628,0.0,0.0,0.06279588591336628,0.013361457614645267,0.0,0.0,0.013361457614645267
178.0,76.0,0.0,260,150,42,68,39,31,0,1,1,0,0,0,1990,62.29452485840151,0.3234037800381293,0.0,0.02580261358375957,1.1308843122468215,0.05887049367142926,0.0,0.003780594914911628,0.17718241521567757
180.0,73.0,0.25,124,41,40,43,1,8,4,2,0,0,1,0,1990,202.9297017460778,0.08732656961539643,0.05887099348013503,0.015179372680172377,2.510114240983056,0.03971064256953689,0.02821134762413811,0.006902625920002273,1.189102075812037
180.0,74.0,0.75,97,41,23,33,3,11,1,0,0,0,1,0,1988,44.0851630073187,0.08463921846933184,0.005328239522689879,0.0,0.26092489161956445,0.0826306257793629,0.005088997557000789,0.0,0.25100093949658064
189.0,80.0,0.875,24,8,8,8,0,0,0,0,0,0,1,0,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.0,83.0,0.875,3,0,1,2,0,0,0,0,0,0,1,0,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,68.0,1.0,121,34,25,62,3,21,0,2,0,0,1,0,1990,83.58904971680302,2.250612539841075,0.0,0.07544570164830751,4.611649925533578,0.5305385424798698,0.0,0.015468788180869029,1.014626918735423
179.0,70.0,0.875,50,17,8,25,0,3,0,1,0,1,0,0,1994,34.29452485840151,0.5966287978300573,0.0,0.4773030382640459,15.533600593774805,0.024202109431234558,0.0,0.01936168754498765,0.6301169216084533
180.0,78.0,1.0,36,16,8,12,0,2,0,0,1,0,0,0,1992,2.0,0.2539369617815638,0.0,0.0,0.2539369617815638,0.03723383040955733,0.0,0.0,0.03723383040955733
185.0,78.0,0.375,246,93,61,92,25,70,3,2,0,0,0,1,1985,231.84453873875913,0.4388269763314057,0.02240155921923914,0.018432598751717537,1.7568256345586009,0.18589790027600878,0.009886262211437681,0.008932292021102866,0.7925183317714246
185.0,78.0,0.0,85,28,25,32,14,11,1,1,0,0,0,1,1989,75.3796878657202,0.12392202263201298,0.008527018857474757,0.008527018857474757,0.6728888351013479,0.08623548791636446,0.00661826049930151,0.00661826049930151,0.5123170330754212
188.0,75.0,0.75,208,109,51,48,21,24,0,2,1,0,0,0,1986,86.58904971680302,0.3576463680928305,0.0,0.009822169454416685,0.6650264942475054,0.04999205836708472,0.0,0.0010673100344204833,0.0833930187708779
184.0,79.0,0.25,211,88,63,60,9,66,1,0,0,1,0,0,1985,99.0851630073187,,,,,,,,
168.0,,0.0,20,6,5,9,2,1,0,0,1,0,0,0,1995,1.0,0.5727571149324432,0.0,0.0,0.5727571149324432,0.16141591065865682,0.0,0.0,0.16141591065865682
188.0,90.0,0.0,206,83,54,69,1,4,0,0,1,0,0,0,1985,4.0,0.25886997933144407,0.0,0.0,0.25886997933144407,0.018812532399762466,0.0,0.0,0.018812532399762466
188.0,76.0,0.0,131,46,34,51,13,21,0,0,0,1,0,0,1988,21.0,0.7072453822126813,0.0,0.0,0.7072453822126813,0.10427710979490762,0.0,0.0,0.10427710979490762
175.0,62.0,0.0,339,145,68,126,55,21,0,0,1,0,0,0,1987,21.0,0.33760850924971547,0.0,0.0,0.33760850924971547,0.05721229063845293,0.0,0.0,0.05721229063845293
179.0,,0.25,23,8,7,8,1,0,0,0,1,0,0,0,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.0,76.0,0.0,82,28,18,36,1,14,1,1,0,0,0,1,1988,78.3796878657202,0.45074207273082434,0.036718446144907754,0.07149961919851626,3.903124459184759,0.08434430454112103,0.006673848041976786,0.010876665211170469,0.6455297247234828
173.0,73.0,0.0,131,55,31,45,4,29,2,1,1,0,0,0,1991,126.4648508730389,1.1025358116413024,0.03771617907023149,0.03771617907023149,3.5306916476704147,0.10051497018356732,0.0033548809345603273,0.0033548809345603273,0.3165011575772169
193.0,87.0,0.25,182,83,40,59,51,18,1,0,0,1,0,0,1987,51.0851630073187,0.3954217942179979,0.014397798403116552,0.0,0.871775301331622,0.0506322867451001,0.0015885106340133757,0.0,0.1031884200102918
190.0,88.0,0.0,44,22,6,16,0,1,0,1,0,0,0,1,1987,32.29452485840151,0.25772558310575633,0.0,0.05269390439433437,1.9067562840604857,0.014827062859625647,0.0,0.006273280161475628,0.21114638481664172
180.0,78.0,0.25,209,67,56,86,41,23,1,0,1,0,0,0,1989,56.0851630073187,0.09537398934110167,0.0009596629553972237,0.0,0.12712459465250403,0.09213063833439966,0.0009384439187686509,0.0,0.12317920836008742
190.0,88.0,0.125,286,144,71,71,20,59,2,3,0,0,0,1,1985,219.05390058984193,0.7600190197785252,0.044022323365510374,0.06255004515373182,4.1739787072449275,0.11646044862333024,0.004031187810125718,0.00930113652627696,0.5409076026674161
171.0,69.0,0.25,178,53,43,82,39,22,1,0,0,0,0,1,1984,55.0851630073187,1.0257764072031024,0.014197119307312503,0.0,1.4954904137198881,0.3419334762166389,0.004811404018833855,0.0,0.5011195624738253
180.0,74.0,0.25,453,199,120,134,178,90,2,3,0,0,1,0,1979,250.05390058984193,0.6708259447920638,0.007308751522282565,0.018271878805706413,1.4844469457816494,0.11906100164295534,0.001209699133457813,0.003024247833644532,0.2537264936711749
183.0,73.0,0.125,294,145,62,87,60,16,0,0,0,0,0,1,1988,16.0,0.1991319509342456,0.0,0.0,0.1991319509342456,0.050365454951694005,0.0,0.0,0.050365454951694005
188.0,82.0,0.25,29,10,11,8,0,3,0,0,0,0,0,1,1983,3.0,0.1991319509342456,0.0,0.0,0.1991319509342456,0.050365454951694005,0.0,0.0,0.050365454951694005
172.0,67.0,0.25,373,229,59,85,33,58,1,3,0,0,0,1,1984,184.96873758252323,0.4250949291229307,0.003065210948029898,0.00814470337619373,0.7813925552609191,0.09306061893096214,0.0007055228686818848,0.001874675051069008,0.1750700230337976
188.0,71.0,0.0,66,42,14,10,6,11,0,0,0,0,1,0,1995,11.0,1.2517202729583254,0.0,0.0,1.2517202729583254,0.21987955081085703,0.0,0.0,0.21987955081085703
182.0,78.0,0.25,322,125,82,115,105,68,3,4,0,0,0,1,1981,292.43358845556213,1.0036328710335856,0.021622658002140385,0.03162538344911391,2.7087233841906793,0.13730396689706564,0.00313094105672985,0.0045793265317267615,0.3841995101071401
187.0,77.0,0.0,200,78,62,60,52,8,0,0,0,0,0,1,1987,8.0,0.3926808008088619,0.0,0.0,0.3926808008088619,0.042888531909250724,0.0,0.0,0.042888531909250724
185.0,78.0,0.25,166,61,40,65,5,38,1,0,0,0,1,0,1985,71.0851630073187,0.3044454073958227,0.005370296517900817,0.0,0.4821225430882071,0.1407299462014023,0.002419002663990898,0.0,0.22076304365467933
179.0,69.0,0.5,15,6,1,8,4,1,0,0,0,1,0,0,1993,1.0,,,,,,,,
176.0,66.0,1.0,130,39,42,49,31,17,0,1,0,0,1,0,1988,48.29452485840151,0.1226131905054072,0.0,0.002872691020355345,0.2125126910524244,0.0933721540133593,0.0,0.0021374685840931796,0.16026321775231558
180.0,74.0,0.5,234,70,67,97,3,60,2,1,0,0,1,0,1984,157.4648508730389,0.3545938060083754,0.005086364932916164,0.002511785152057365,0.601482141808639,0.11092001612762567,0.001542253723526555,0.0007616067770501505,0.18577985418586898
180.0,65.0,0.75,33,10,10,13,3,0,0,0,0,0,1,0,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.0,77.0,0.25,561,292,139,130,11,197,3,6,0,0,0,1,1977,484.0226381723652,0.6268413968283626,0.0032515616939267646,0.010926674967778298,1.0763649468990941,0.20623006630270907,0.0010951745710124428,0.0034902087793860855,0.3516885209136352
186.0,82.0,0.125,171,51,50,70,4,69,0,3,0,0,0,1,1989,162.88357457520453,1.5801394973682699,0.0,0.1488902103551164,6.2395878864990895,0.21155310307437994,0.0,0.02024451556815603,0.845095598768335
177.0,68.0,0.25,17,5,3,9,1,1,0,0,0,0,0,1,1990,1.0,,,,,,,,
170.0,68.0,0.125,175,77,52,46,11,39,2,1,0,0,1,0,1982,136.4648508730389,1.3708659999025843,0.05237584561988808,0.020576225064956034,3.7476525766700717,0.1273219425895935,0.004182312501269275,0.001643051339784358,0.31711294443814575
175.0,73.0,0.25,197,104,41,52,45,36,0,1,0,0,0,1,1981,67.2945248584015,0.7959967512138895,0.0,0.043669436745251484,2.162611024990554,0.20436369283444764,0.0,0.010232902773665446,0.5245975230585268
175.0,68.0,0.25,136,50,36,50,1,22,1,0,0,1,0,0,1991,55.0851630073187,0.6814974036523653,0.07976282835000514,0.0,3.320463581537067,0.07170277245480501,0.008392131651391419,0.0,0.34935781611996874
187.0,80.0,0.125,285,138,57,90,28,50,4,3,1,0,0,0,1985,276.2242266044793,0.5977398647460952,0.06953908131275668,0.08734987201461103,5.632024446497275,0.08408042327659071,0.011524521923550076,0.016839980088249985,0.9923702851853884
175.0,65.0,0.25,77,38,10,29,16,7,0,0,0,1,0,0,1992,7.0,,,,,,,,
174.0,66.0,0.25,141,57,30,54,16,32,0,0,0,0,0,1,1988,32.0,,,,,,,,
180.0,72.0,0.875,34,6,15,13,2,3,0,0,1,0,0,0,1991,3.0,0.9318894830452219,0.0,0.0,0.9318894830452219,0.09602732175260832,0.0,0.0,0.09602732175260832
180.0,70.0,0.5,139,80,27,32,26,5,0,0,1,0,0,0,1993,5.0,0.1531594754284412,0.0,0.0,0.1531594754284412,0.023338243001891492,0.0,0.0,0.023338243001891492
185.0,77.0,0.125,20,5,5,10,4,5,0,0,0,0,0,1,1993,5.0,,,,,,,,
175.0,54.0,0.5,14,9,1,4,1,1,0,0,1,0,0,0,1991,1.0,,,,,,,,
182.0,74.0,1.0,345,208,64,73,11,67,2,0,0,0,0,1,1987,133.1703260146374,0.09164627518571611,0.008472315241653794,0.0,0.37195420600522255,0.10243343240409752,0.007539443851246596,0.0,0.3518771612071179
180.0,68.0,0.0,68,30,12,26,3,8,0,1,0,0,0,1,1992,39.29452485840151,1.3480803854536059,0.0,0.18539716374070866,7.149996534814346,0.17397294108188174,0.0,0.02456370755436042,0.942682497756319
188.0,92.0,0.5,371,243,81,47,38,48,0,2,0,0,1,0,1982,110.58904971680302,0.5191460267023658,0.0,0.011877147937046932,0.8908357280651932,0.08051237064772188,0.0,0.0017690039274003864,0.1358725080283632
