,0,frequency
samoa,1.0,1
turkmenistan,1.0,1
senegal,1.0,2
suriname,1.0,1
malta,1.0,1
western sahara,1.0,1
antarctica,1.0,1
hong kong,1.0,3
bahamas,1.0,1
united kingdom,1.0,2
bulgaria,1.0,3
mauritania,1.0,1
tajikistan,1.0,1
russian federation,1.0,1
guyana,1.0,1
singapore,0.8,15
georgia,0.75,8
madagascar,0.75,4
romania,0.75,4
philippines,0.7142857142857143,7
ukraine,0.7,10
el salvador,0.6666666666666666,3
zimbabwe,0.6666666666666666,3
estonia,0.6666666666666666,3
tunisia,0.6666666666666666,6
malaysia,0.625,8
morocco,0.5714285714285714,14
indonesia,0.5625,32
south africa,0.5263157894736842,19
cameroon,0.5,2
rwanda,0.5,6
cambodia,0.5,4
slovenia,0.5,2
new zealand,0.5,4
cyprus,0.5,4
croatia,0.5,2
lithuania,0.5,8
niger,0.4444444444444444,9
nigeria,0.4444444444444444,9
colombia,0.4,25
norway,0.38461538461538464,13
qatar,0.3793103448275862,29
dominican republic,0.375,8
ecuador,0.36363636363636365,11
australia,0.35294117647058826,17
india,0.3522727272727273,88
portugal,0.3333333333333333,3
puerto rico,0.3333333333333333,3
somalia,0.3333333333333333,12
thailand,0.3333333333333333,3
albania,0.3333333333333333,3
ethiopia,0.3333333333333333,6
japan,0.275,40
palau,0.2727272727272727,22
honduras,0.2647058823529412,68
afghanistan,0.25806451612903225,124
bangladesh,0.25,12
uzbekistan,0.25,4
bahrain,0.25,4
mongolia,0.25,4
guinea,0.23076923076923078,26
dominica,0.2222222222222222,9
mexico,0.21568627450980393,51
mali,0.20512820512820512,39
sweden,0.2,5
iceland,0.2,5
saudi arabia,0.2,15
haiti,0.19696969696969696,198
angola,0.16666666666666666,18
algeria,0.16666666666666666,6
ghana,0.16666666666666666,6
pakistan,0.1506849315068493,146
oman,0.14583333333333334,96
jersey,0.14285714285714285,14
costa rica,0.14285714285714285,7
egypt,0.13559322033898305,59
china,0.13043478260869565,115
sudan,0.12903225806451613,31
brazil,0.12,50
uruguay,0.1,10
lebanon,0.1,10
kuwait,0.1,10
liberia,0.1,10
united states,0.09696969696969697,165
turkey,0.0967741935483871,62
canada,0.09523809523809523,21
iraq,0.0851063829787234,94
greece,0.07142857142857142,14
spain,0.07142857142857142,14
jordan,0.06666666666666667,30
italy,0.0625,16
chile,0.05555555555555555,18
argentina,0.05,20
lesotho,0.0,1
gabon,0.0,1
switzerland,0.0,4
greenland,0.0,2
mozambique,0.0,1
sierra leone,0.0,1
kenya,0.0,12
monaco,0.0,1
nicaragua,0.0,1
cuba,0.0,34
finland,0.0,2
hungary,0.0,1
malawi,0.0,2
panama,0.0,5
guatemala,0.0,3
papua new guinea,0.0,1
slovakia,0.0,2
paraguay,0.0,1
luxembourg,0.0,2
zambia,0.0,3
armenia,0.0,36
guam,0.0,1
denmark,0.0,3
burkina faso,0.0,2
sri lanka,0.0,24
belarus,0.0,2
nepal,0.0,2
israel,-0.010752688172043012,186
france,-0.03571428571428571,28
libya,-0.056451612903225805,124
peru,-0.1,10
yemen,-0.1,20
germany,-0.11538461538461539,26
poland,-0.11764705882352941,17
ireland,-0.125,48
netherlands,-0.14285714285714285,7
jamaica,-0.14285714285714285,7
kyrgyzstan,-0.21428571428571427,14
belgium,-0.25,8
congo,-0.25,8
uganda,-0.3,10
bermuda,-0.3333333333333333,3
serbia,-0.3333333333333333,6
austria,-0.3333333333333333,6
azerbaijan,-0.4,10
chad,-0.5,2
latvia,-0.5,4
south sudan,-0.5,2
kazakhstan,-0.8,5
barbados,-1.0,2
united arab emirates,-1.0,1
maldives,-1.0,2
myanmar,-1.0,2
nauru,-1.0,1
